h^0:
2 0 1              1
h^1:
2 1 1   0 1        1/2
h^2:
2 2 1   0 1 0 2    1/12
2 2 1   0 3 1 2    -1/24
h^3:
2 3 0   0 1 0 1 2 3    0
2 3 1   0 1 0 2 0 2    w_3_1
2 3 1   0 1 0 2 0 3    w_3_2
2 3 1   0 1 0 2 1 2    w_3_3
2 3 1   0 1 0 2 1 3    w_3_4
2 3 1   0 1 0 2 2 3    w_3_5
2 3 1   0 1 0 4 2 3    w_3_6
2 3 1   0 1 2 4 2 3    w_3_7
2 3 1   0 3 0 2 1 2    w_3_8
2 3 1   0 3 0 4 1 2    w_3_9
2 3 1   0 3 0 4 1 3    w_3_10
2 3 1   0 3 1 2 0 3    w_3_11
2 3 1   0 3 1 2 2 3    w_3_12
2 3 1   0 3 1 4 2 3    w_3_13
2 3 1   0 3 2 4 1 3    w_3_14
h^4:
2 4 1   0 1 0 1 0 2 2 3    w_4_1
2 4 1   0 1 0 1 0 2 3 4    w_4_2
2 4 0   0 1 0 1 0 5 2 3    0
2 4 1   0 1 0 1 2 3 2 3    w_4_3
2 4 1   0 1 0 1 2 3 2 4    w_4_4
2 4 1   0 1 0 1 2 5 3 4    w_4_5
2 4 1   0 1 0 2 0 2 0 2    w_4_6
2 4 1   0 1 0 2 0 2 0 3    w_4_7
2 4 1   0 1 0 2 0 2 1 2    w_4_8
2 4 1   0 1 0 2 0 2 1 3    w_4_9
2 4 1   0 1 0 2 0 2 2 3    w_4_10
2 4 0   0 1 0 2 0 2 3 4    0
2 4 1   0 1 0 2 0 3 0 3    w_4_11
2 4 1   0 1 0 2 0 3 0 4    w_4_12
2 4 1   0 1 0 2 0 3 1 2    w_4_13
2 4 1   0 1 0 2 0 3 1 3    w_4_14
2 4 1   0 1 0 2 0 3 1 4    w_4_15
2 4 1   0 1 0 2 0 3 2 3    w_4_16
2 4 1   0 1 0 2 0 3 2 4    w_4_17
2 4 1   0 1 0 2 0 3 3 4    w_4_18
2 4 1   0 1 0 2 0 5 1 2    w_4_19
2 4 1   0 1 0 2 0 5 1 3    w_4_20
2 4 1   0 1 0 2 0 5 2 3    w_4_21
2 4 1   0 1 0 2 0 5 2 4    w_4_22
2 4 1   0 1 0 2 0 5 3 4    w_4_23
2 4 1   0 1 0 2 1 2 2 3    w_4_24
2 4 1   0 1 0 2 1 2 3 4    w_4_25
2 4 1   0 1 0 2 1 3 1 3    w_4_26
2 4 1   0 1 0 2 1 3 1 4    w_4_27
2 4 1   0 1 0 2 1 3 2 3    w_4_28
2 4 1   0 1 0 2 1 3 2 4    w_4_29
2 4 1   0 1 0 2 1 3 3 4    w_4_30
2 4 1   0 1 0 2 1 5 2 3    w_4_31
2 4 1   0 1 0 2 1 5 2 4    w_4_32
2 4 1   0 1 0 2 1 5 3 4    w_4_33
2 4 1   0 1 0 2 2 3 2 3    w_4_34
2 4 1   0 1 0 2 2 3 2 4    w_4_35
2 4 1   0 1 0 2 2 3 3 4    w_4_36
2 4 1   0 1 0 2 2 5 2 4    w_4_37
2 4 1   0 1 0 2 2 5 3 4    w_4_38
2 4 1   0 1 0 2 3 5 3 4    w_4_39
2 4 1   0 1 0 4 0 3 2 3    w_4_40
2 4 1   0 1 0 4 0 5 2 3    w_4_41
2 4 1   0 1 0 4 0 5 2 4    w_4_42
2 4 1   0 1 0 4 1 3 2 3    w_4_43
2 4 1   0 1 0 4 1 5 2 3    w_4_44
2 4 1   0 1 0 4 1 5 2 4    w_4_45
2 4 1   0 1 0 4 2 3 0 4    w_4_46
2 4 1   0 1 0 4 2 3 1 4    w_4_47
2 4 1   0 1 0 4 2 3 2 3    w_4_48
2 4 1   0 1 0 4 2 3 2 4    w_4_49
2 4 1   0 1 0 4 2 3 3 4    w_4_50
2 4 1   0 1 0 4 2 5 2 3    w_4_51
2 4 1   0 1 0 4 2 5 2 4    w_4_52
2 4 1   0 1 0 4 2 5 3 4    w_4_53
2 4 1   0 1 0 4 3 5 2 3    w_4_54
2 4 1   0 1 0 4 3 5 2 4    w_4_55
2 4 1   0 1 2 4 2 3 2 3    w_4_56
2 4 0   0 1 2 4 2 3 3 4    0
2 4 1   0 1 2 4 2 5 2 3    w_4_57
2 4 1   0 1 2 4 2 5 3 4    w_4_58
2 4 0   0 1 2 4 3 5 2 4    0
2 4 1   0 1 2 4 3 5 3 4    w_4_59
2 4 1   0 3 0 2 0 2 1 2    w_4_60
2 4 1   0 3 0 2 0 2 1 3    w_4_61
2 4 1   0 3 0 2 0 2 1 4    w_4_62
2 4 1   0 3 0 2 0 5 1 2    w_4_63
