Graph                       Weight
2 0 1                       1
2 1 1   0 1                 1/2
2 2 1   0 1 0 2             1/12
2 2 1   0 3 2 1             1/24
2 3 1   0 1 0 2 3 2         1/48
2 3 1   0 1 0 2 0 2         1/24
2 3 1   0 1 2 1 0 3         1/48
2 3 1   0 3 2 1 2 1         1/48
2 3 1   0 3 2 1 2 3         1/48
2 4 1   0 1 0 1 0 2 2 3     -1/144
2 4 1   0 1 0 1 0 2 3 4     -1/288
2 4 1   0 1 0 2 0 2 0 2     1/80
2 4 1   0 1 0 2 0 2 0 3     1/360
2 4 1   0 1 0 2 0 2 1 2     -1/240
2 4 1   0 1 0 2 0 2 1 3     -13/1440
2 4 1   0 1 0 2 0 2 2 3     -7/1440
2 4 1   0 1 0 2 0 3 0 3     1/240
2 4 1   0 1 0 2 0 3 0 4     -1/720
2 4 1   0 1 0 2 0 3 1 2     1/720
2 4 1   0 1 0 2 0 3 1 3     1/480
2 4 1   0 1 0 2 0 3 1 4     -1/1440
2 4 1   0 1 0 2 0 3 2 3     1/1440
2 4 1   0 1 0 2 0 3 2 4     -1/480
2 4 1   0 1 0 2 0 3 3 4     -1/360
2 4 1   0 1 0 2 0 5 1 2     -1/480
2 4 1   0 1 0 2 0 5 1 3     -1/240
2 4 1   0 1 0 2 0 5 2 3     -1/480
2 4 1   0 1 0 2 0 5 2 4     -1/720
2 4 1   0 1 0 2 0 5 3 4     1/1440
2 4 1   0 1 0 2 1 2 2 3     1/360
2 4 1   0 1 0 2 1 3 1 3     1/120
2 4 1   0 1 0 2 1 3 1 4     1/1440
2 4 1   0 1 0 2 1 5 2 4     1/1440
2 4 1   0 1 0 2 2 5 2 4     0
2 4 1   0 1 0 2 3 5 3 4     0
2 4 1   0 1 0 4 0 3 2 3     0
2 4 1   0 1 0 4 0 5 2 3     1/1440
2 4 1   0 1 0 4 0 5 2 4     1/1440
2 4 1   0 1 0 4 2 3 0 4     -1/480
2 4 1   0 1 2 4 2 3 2 3     0
2 4 1   0 1 2 4 2 5 2 3     0
2 4 1   0 1 2 4 2 5 3 4     0
2 4 1   0 1 2 4 3 5 3 4     0
2 4 1   0 3 0 2 0 2 1 2     0
2 4 1   0 3 0 2 0 2 1 3     0
2 4 1   0 3 0 2 0 2 1 4     0
2 4 1   0 3 0 2 0 5 1 2     0
2 4 1   0 3 0 2 1 2 1 2     0
2 4 1   0 3 0 2 1 2 1 3     0
2 4 1   0 3 0 2 1 2 1 4     0
2 4 1   0 3 0 2 1 2 2 3     0
2 4 1   0 3 0 2 1 2 2 4     0
2 4 1   0 3 0 2 1 2 3 4     0
2 4 1   0 3 0 2 1 5 2 4     0
2 4 1   0 3 0 4 0 2 1 2     0
2 4 1   0 3 0 4 0 5 1 2     1/1440
2 4 1   0 3 0 4 0 5 1 3     1/1440
2 4 1   0 3 0 4 0 5 1 4     1/1440
2 4 1   0 3 0 4 1 2 0 3     -1/480
2 4 1   0 3 0 4 1 2 0 4     -1/720
2 4 1   0 3 0 4 1 2 1 4     -1/1440
2 4 1   0 3 0 4 1 3 0 3     -1/480
2 4 1   0 3 0 4 1 3 0 4     -1/720
2 4 1   0 3 0 4 1 3 1 3     1/480
2 4 1   0 3 0 4 1 3 1 4     -1/1440
2 4 1   0 3 0 4 1 5 0 4     -1/720
2 4 1   0 3 0 4 2 3 1 2     0
2 4 1   0 3 0 4 2 3 1 3     0
2 4 1   0 3 0 4 2 3 1 4     0
2 4 1   0 3 1 2 0 3 0 3     -1/160
2 4 1   0 3 1 2 0 3 1 2     13/1440
2 4 1   0 3 1 2 2 5 2 4     0
2 4 1   0 3 1 4 3 5 1 4     0
2 4 1   0 3 1 4 3 5 3 4     0
2 4 1   0 3 2 4 2 3 1 3     0
2 4 1   0 3 2 4 2 3 1 4     0
