h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 2 1   0 3 1 2    -1/6
2 2 1   0 1 1 2    -1/3
2 2 1   0 1 0 2    1/3
2 2 1   0 1 0 1    1/2
h^3:
2 3 1   0 3 1 2 2 3    -1/6
2 3 1   0 1 1 2 1 2    1/6
2 3 1   0 1 0 1 1 2    -1/3
2 3 1   0 1 0 2 0 2    1/6
2 3 1   0 1 0 1 0 2    1/3
2 3 1   0 1 0 1 0 1    1/6
2 3 1   0 1 1 2 2 3    -1/6
2 3 1   0 3 1 2 1 2    1/6
2 3 1   0 1 0 2 2 3    -1/6
2 3 1   0 3 1 2 0 3    -1/6
2 3 1   0 1 0 4 1 3    -1/6
2 3 1   0 1 0 2 1 3    -1/6
2 3 1   0 1 0 4 1 2    -1/6
h^4:
2 4 1   0 1 0 1 0 1 1 2    -1/6
2 4 1   0 1 0 1 0 1 0 2    1/6
2 4 1   0 1 0 1 0 1 0 1    1/24
2 4 1   0 1 0 1 1 2 1 2    1/6
2 4 1   0 1 0 1 1 2 1 3    1/18
2 4 1   0 1 0 1 0 2 0 2    1/6
2 4 1   0 1 0 1 0 2 0 3    1/18
2 4 1   0 1 1 2 1 2 1 2    -1/30
2 4 1   0 1 1 2 1 2 1 3    -2/45
2 4 1   0 1 1 2 1 3 1 3    -1/30
2 4 1   0 1 1 2 1 3 1 4    1/45
2 4 1   0 1 0 1 0 5 1 4    -1/12
2 4 1   0 1 0 1 0 2 1 4    -1/6
2 4 1   0 1 0 1 0 5 1 2    -1/6
2 4 1   0 1 0 1 0 2 1 3    -1/9
2 4 1   0 1 0 2 0 2 0 2    1/30
2 4 1   0 1 0 2 0 2 0 3    2/45
2 4 1   0 1 0 2 0 3 0 3    1/30
2 4 1   0 1 0 2 0 3 0 4    -1/45
2 4 1   0 1 0 1 1 2 2 4    -1/6
2 4 1   0 1 0 4 1 3 1 3    1/6
2 4 1   0 1 0 4 1 3 1 2    1/18
2 4 1   0 1 0 1 1 2 2 3    -1/9
2 4 1   0 1 0 1 1 2 3 4    -1/18
2 4 1   0 1 0 2 1 2 1 2    1/30
2 4 1   0 1 0 4 1 2 1 2    13/90
2 4 1   0 1 0 2 1 2 1 4    -1/45
2 4 1   0 1 0 4 1 2 1 4    -1/30
2 4 1   0 1 0 4 1 5 1 2    1/90
2 4 1   0 1 0 2 1 2 1 3    1/30
2 4 1   0 1 0 4 1 2 1 3    1/15
2 4 1   0 1 0 2 1 3 1 3    1/15
2 4 1   0 1 0 2 1 3 1 4    1/90
2 4 1   0 1 0 1 0 2 2 4    -1/6
2 4 1   0 1 0 4 1 3 0 4    -1/6
2 4 1   0 1 0 2 0 5 1 4    -1/18
2 4 1   0 1 0 1 0 2 2 3    -1/9
2 4 1   0 1 0 1 0 2 3 4    -1/18
2 4 1   0 1 0 2 0 2 1 2    -1/30
2 4 1   0 1 0 2 0 2 1 3    -13/90
2 4 1   0 1 0 2 0 3 1 2    1/45
2 4 1   0 1 0 2 0 3 1 3    1/30
2 4 1   0 1 0 2 0 3 1 4    -1/90
2 4 1   0 1 0 2 0 5 1 2    -1/30
2 4 1   0 1 0 2 0 5 1 3    -1/15
2 4 1   0 1 0 4 1 2 0 4    -1/15
2 4 1   0 1 0 4 0 5 1 2    -1/90
2 4 1   0 1 1 2 1 2 2 3    7/90
2 4 1   0 1 1 2 1 3 2 3    -1/90
2 4 1   0 1 1 2 1 3 2 4    1/30
2 4 1   0 1 1 2 1 3 3 4    2/45
2 4 1   0 1 1 2 1 5 2 3    1/30
2 4 1   0 1 1 2 1 5 2 4    1/45
2 4 1   0 1 1 2 1 5 3 4    -1/90
